Pos Exato Numerico
0.00000000 0.00000002 0.00000393
0.00502513 0.00000003 0.00000591
0.01005025 0.00000005 0.00000881
0.01507538 0.00000009 0.00001305
0.02010050 0.00000015 0.00001920
0.02512563 0.00000027 0.00002806
0.03015075 0.00000047 0.00004074
0.03517588 0.00000079 0.00005874
0.04020101 0.00000134 0.00008413
0.04522613 0.00000225 0.00011969
0.05025126 0.00000373 0.00016913
0.05527638 0.00000611 0.00023739
0.06030151 0.00000993 0.00033094
0.06532663 0.00001597 0.00045825
0.07035176 0.00002542 0.00063024
0.07537688 0.00004007 0.00086093
0.08040201 0.00006252 0.00116810
0.08542714 0.00009659 0.00157411
0.09045226 0.00014775 0.00210686
0.09547739 0.00022375 0.00280076
0.10050251 0.00033546 0.00369789
0.10552764 0.00049796 0.00484914
0.11055276 0.00073180 0.00631547
0.11557789 0.00106477 0.00816910
0.12060302 0.00153381 0.01049462
0.12562814 0.00218749 0.01338998
0.13065327 0.00308872 0.01696720
0.13567839 0.00431784 0.02135278
0.14070352 0.00597602 0.02668758
0.14572864 0.00818870 0.03312616
0.15075377 0.01110900 0.04083540
0.15577889 0.01492079 0.04999228
0.16080402 0.01984109 0.06078075
0.16582915 0.02612141 0.07338760
0.17085427 0.03404745 0.08799732
0.17587940 0.04393693 0.10478590
0.18090452 0.05613476 0.12391373
0.18592965 0.07100535 0.14551767
0.19095477 0.08892162 0.16970247
0.19597990 0.11025053 0.19653201
0.20100503 0.13533528 0.22602036
0.20603015 0.16447446 0.25812342
0.21105528 0.19789870 0.29273138
0.21608040 0.23574608 0.32966254
0.22110553 0.27803730 0.36865896
0.22613065 0.32465247 0.40938436
0.23115578 0.37531110 0.45142472
0.23618090 0.42955736 0.49429186
0.24120603 0.48675226 0.53743004
0.24623116 0.54607443 0.58022594
0.25125628 0.60653066 0.62202149
0.25628141 0.66697681 0.66212959
0.26130653 0.72614904 0.69985210
0.26633166 0.78270454 0.73449949
0.27135678 0.83527021 0.76541146
0.27638191 0.88249690 0.79197763
0.28140704 0.92311635 0.81365748
0.28643216 0.95599748 0.82999851
0.29145729 0.98019867 0.84065195
0.29648241 0.99501248 0.84538504
0.30150754 1.00000000 0.84408955
0.30653266 0.99501248 0.83678581
0.31155779 0.98019867 0.82362228
0.31658291 0.95599748 0.80487054
0.32160804 0.92311635 0.78091595
0.32663317 0.88249690 0.75224449
0.33165829 0.83527021 0.71942632
0.33668342 0.78270454 0.68309694
0.34170854 0.72614904 0.64393669
0.34673367 0.66697681 0.60264966
0.35175879 0.60653066 0.55994280
0.35678392 0.54607443 0.51650613
0.36180905 0.48675226 0.47299487
0.36683417 0.42955736 0.43001398
0.37185930 0.37531110 0.38810564
0.37688442 0.32465247 0.34773995
