Pos Exato Numerico
0 2.57221e-56 1.523e-08
0.004 9.19834e-56 1.523e-08
0.008 3.26847e-55 1.523e-08
0.012 1.15401e-54 1.523e-08
0.016 4.04863e-54 1.523e-08
0.02 1.41136e-53 1.523e-08
0.024 4.88877e-53 1.523e-08
0.028 1.68264e-52 1.523e-08
0.032 5.75462e-52 1.523e-08
0.036 1.95557e-51 1.523e-08
0.04 6.60328e-51 1.523e-08
0.044 2.21554e-50 1.523e-08
0.048 7.38635e-50 1.523e-08
0.052 2.44688e-49 1.523e-08
0.056 8.05427e-49 1.523e-08
0.06 2.63434e-48 1.523e-08
0.064 8.56148e-48 1.523e-08
0.068 2.76476e-47 1.523e-08
0.072 8.87152e-47 1.523e-08
0.076 2.82859e-46 1.523e-08
0.08 8.96135e-46 1.523e-08
0.084 2.82104e-45 1.523e-08
0.088 8.8242e-45 1.523e-08
0.092 2.74267e-44 1.523e-08
0.096 8.4704e-44 1.523e-08
0.1 2.59935e-43 1.523e-08
0.104 7.92608e-43 1.523e-08
0.108 2.4015e-42 1.523e-08
0.112 7.23002e-42 1.523e-08
0.116 2.16286e-41 1.523e-08
0.12 6.42906e-41 1.523e-08
0.124 1.89888e-40 1.523e-08
0.128 5.5729e-40 1.523e-08
0.132 1.62516e-39 1.523e-08
0.136 4.70914e-39 1.523e-08
0.14 1.35587e-38 1.523e-08
0.144 3.87907e-38 1.523e-08
0.148 1.10273e-37 1.523e-08
0.152 3.11488e-37 1.523e-08
0.156 8.74269e-37 1.523e-08
0.16 2.43826e-36 1.523e-08
0.164 6.75691e-36 1.523e-08
0.168 1.86057e-35 1.523e-08
0.172 5.09069e-35 1.523e-08
0.176 1.38401e-34 1.523e-08
0.18 3.7388e-34 1.523e-08
0.184 1.00359e-33 1.523e-08
0.188 2.67679e-33 1.523e-08
0.192 7.09419e-33 1.523e-08
0.196 1.8682e-32 1.523e-08
0.2 4.88849e-32 1.523e-08
0.204 1.27104e-31 1.523e-08
0.208 3.28377e-31 1.523e-08
0.212 8.42983e-31 1.523e-08
0.216 2.15029e-30 1.523e-08
0.22 5.45012e-30 1.523e-08
0.224 1.37261e-29 1.523e-08
