      DiasPressao (kPa)
        10      30000
        20    14863.8
        30   -412.345
        40   -15832.4
        50   -31400.6
        60   -47121.1
        70   -62998.6
        80   -79037.8
        90   -95243.7
       100    -111622
       110    -128177
       120    -144916
       130    -161845
       140    -178970
       150    -196299
       160    -213838
       170    -231595
       180    -249580
       190    -267800
       200    -286265
       210    -304985
       220    -323972
       230    -343236
       240    -362791
       250    -382650
       260    -402826
       270    -423337
       280    -444199
       290    -465430
       300    -487051
       310    -509084
       320    -531554
       330    -554486
       340    -577912
       350    -601863
       360    -626376
       370    -651493
       380    -677261
       390    -703731
       400    -730965
       410    -759032
       420    -788011
       430    -817998
       440    -849104
       450    -881462
       460    -915235
       470    -950622
       480    -987876
       490 -1.02732e+06
       500 -1.06938e+06
       510 -1.11464e+06
       520 -1.16395e+06
       530 -1.21856e+06
       540 -1.28058e+06
       550 -1.35387e+06
       560 -1.44722e+06
       570 -1.59051e+06
       580 -2.39292e+06
       590 -2.36051e+06
       600 -2.32667e+06
       610 -2.29122e+06
       620 -2.25388e+06
       630 -2.21434e+06
       640 -2.17216e+06
       650 -2.12675e+06
       660 -2.07725e+06
       670 -2.02238e+06
       680 -1.95999e+06
       690 -1.88611e+06
       700 -1.79157e+06
       710 -1.64444e+06
       720    -546584
       730    -569837
       740    -593604
       750    -617921
       760    -642826
       770    -668366
       780    -694589
       790    -721555
       800    -749328
       810    -777985
       820    -807615
       830    -838325
       840    -870237
       850    -903506
       860    -938315
       870    -974897
       880 -1.01355e+06
       890 -1.05466e+06
       900 -1.09875e+06
       910 -1.14655e+06
       920 -1.19917e+06
       930 -1.25834e+06
       940 -1.32714e+06
       950 -1.41201e+06
       960 -1.53125e+06
       970 -1.80774e+06
       980 -1.67338e+06
       990 -1.19001e+06
      1000 -1.24792e+06
      1010 -1.31481e+06
      1020 -1.39628e+06
      1030 -1.50719e+06
      1040 -1.72556e+06
      1050 -1.48493e+06
      1060 -1.66775e+06
      1070 -1.12523e+06
      1080 -1.17559e+06
      1090 -1.23163e+06
      1100 -1.29572e+06
      1110 -1.37241e+06
      1120 -1.47271e+06
      1130 -1.64053e+06
      1140    -315011
      1150    -334143
      1160    -353560
      1170    -373274
      1180    -393299
      1190    -413650
      1200    -434345
      1210    -455400
      1220    -476835
      1230    -498672
      1240    -520933
      1250    -543644
      1260    -566834
      1270    -590533
      1280    -614778
      1290    -639606
      1300    -665061
      1310    -691194
      1320    -718061
      1330    -745727
      1340    -774266
      1350    -803767
      1360    -834331
      1370    -866082
      1380    -899168
      1390    -933768
      1400    -970109
      1410 -1.00848e+06
      1420 -1.04924e+06
      1430 -1.09292e+06
      1440 -1.14019e+06
      1450 -1.19212e+06
      1460 -1.25031e+06
      1470 -1.31763e+06
      1480 -1.39985e+06
      1490 -1.51255e+06
      1500 -1.74164e+06
      1510 -1.53328e+06
      1520 -1.81612e+06
      1530 -1.68757e+06
      1540 -1.30822e+06
      1550 -1.38797e+06
      1560 -1.49494e+06
      1570 -1.6922e+06
      1580 -1.33776e+06
      1590 -1.42581e+06
      1600 -1.55344e+06
      1610 -1.91984e+06
      1620 -1.836e+06
      1630 -1.71937e+06
      1640 -1.46349e+06
      1650 -1.62153e+06
      1660 -1.83746e+08
      1670 -1.83746e+08
      1680 -1.83746e+08
      1690 -1.83746e+08
      1700 -1.83746e+08
      1710 -1.83745e+08
      1720 -1.83745e+08
      1730 -1.83745e+08
      1740 -1.83745e+08
      1750 -1.83744e+08
      1760 -1.83744e+08
      1770 -1.83744e+08
      1780 -1.83744e+08
      1790 -1.83743e+08
      1800 -1.83743e+08
      1810 -1.83743e+08
      1820 -1.83743e+08
      1830 -1.83742e+08
      1840 -1.83742e+08
      1850 -1.83742e+08
      1860 -1.83742e+08
      1870 -1.83741e+08
      1880 -1.83741e+08
      1890 -1.83741e+08
      1900 -1.83741e+08
      1910 -1.83741e+08
      1920 -1.8374e+08
      1930 -1.8374e+08
      1940 -1.8374e+08
      1950 -1.8374e+08
      1960 -1.83739e+08
      1970 -1.83739e+08
      1980 -1.83739e+08
      1990 -1.83739e+08
      2000 -1.83738e+08
      2010 -1.83738e+08
      2020 -1.83738e+08
      2030 -1.83738e+08
      2040 -1.83737e+08
      2050 -1.83737e+08
      2060 -1.83737e+08
      2070 -1.83737e+08
      2080 -1.83736e+08
      2090 -1.83736e+08
      2100 -1.83736e+08
      2110 -1.83736e+08
      2120 -1.83736e+08
      2130 -1.83735e+08
      2140 -1.83735e+08
